electionYear,electionID,electoralUnitID,candidateID,caseNum,protNum,scraperID
2004,14431,28797,3,185/2004,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=185/2004&comboTribunal=al,47
2004,14431,28797,12,194/2004,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=194/2004&comboTribunal=al,48
2004,14431,28797,9,191/2004,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=191/2004&comboTribunal=al,49
2004,14431,28797,6,188/2004,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=188/2004&comboTribunal=al,50
2004,14431,28797,14,196/2004,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=196/2004&comboTribunal=al,51
2004,14431,28835,18,002.1/2004,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=S/N%C2%B0&comboTribunal=al,52
2004,14431,28835,19,002.2/2004,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=S/N%C2%B0&comboTribunal=al,53
2004,14431,28835,4,001.4/2004,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=S/N%C2%B0&comboTribunal=al,54
2004,14431,28835,9,001.9/2004,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=S/N%C2%B0&comboTribunal=al,55
2004,14431,28835,10,001.10/2004,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=S/N%C2%B0&comboTribunal=al,56
2004,14431,28835,6,001.6/2004,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=S/N%C2%B0&comboTribunal=al,57
2004,14431,28878,64,102/2004,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=69&comboTribunal=al,58
2004,14431,28878,65,103/2004,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=70&comboTribunal=al,59
2004,14431,02933,1,007,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=002&comboTribunal=am,60
2004,14431,02933,2,007-A/2004,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=003&comboTribunal=am,61
2004,14431,02070,13,19,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=01&comboTribunal=am,62
2004,14431,02119,1,002,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=002&comboTribunal=am,63
2004,14431,02119,109,137,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=136&comboTribunal=am,64
2004,14431,02119,23,074,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=012&comboTribunal=am,65
2004,14431,02135,126,98,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=98&comboTribunal=am,66
2004,14431,02950,42,0105/2004,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=050&comboTribunal=am,67
2004,14431,02950,86,0205/2004,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=094&comboTribunal=am,68
2004,14431,02151,94,15,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=15&comboTribunal=am,69
2004,14431,02151,95,53,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=53&comboTribunal=am,70
2004,14431,02151,76,54,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=54&comboTribunal=am,71
2004,14431,02151,93,16,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=16&comboTribunal=am,72
2004,14431,02151,31,34,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=34&comboTribunal=am,73
2004,14431,02151,20,22,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=22&comboTribunal=am,74
2004,14431,02151,111,68,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=68&comboTribunal=am,75
2004,14431,02151,110,63,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=63&comboTribunal=am,76
2004,14431,02151,16,18,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=18&comboTribunal=am,77
2004,14431,02151,107,62,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=62&comboTribunal=am,78
2004,14431,02151,106,61,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=61&comboTribunal=am,79
2004,14431,02151,98,66,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=66&comboTribunal=am,80
2004,14431,02151,84,80,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=80&comboTribunal=am,81
2004,14431,02151,101,57,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=57&comboTribunal=am,82
2004,14431,02151,85,81,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=81&comboTribunal=am,83
