electionYear,electionID,electoralUnitID,candidateID,sraperID
2004,14431,01511,299,1
2004,14431,27030,31,2
2004,14431,27057,136,3
2004,14431,27057,137,4
2004,14431,27235,121,5
2004,14431,27235,33,6
2004,14431,27359,204,7
2004,14431,27499,117,8
2004,14431,27499,118,9
2004,14431,27499,119,10
2004,14431,27049,253,11
2004,14431,27049,240,12
2004,14431,27537,110,13
2004,14431,27537,109,14
2004,14431,27553,3,15
2004,14431,27553,4,16
2004,14431,27553,65,17
2004,14431,27553,54,18
2004,14431,27553,52,19
2004,14431,27570,78,20
2004,14431,27570,79,21
2004,14431,27634,33,22
2004,14431,27650,132,23
2004,14431,27650,148,24
2004,14431,27650,101,25
2004,14431,27812,267,26
2004,14431,27812,283,27
2004,14431,27812,277,28
2004,14431,27995,7,29
2004,14431,28070,86,30
2004,14431,28070,99,31
2004,14431,28070,75,32
2004,14431,28070,88,33
2004,14431,28355,6,34
2004,14431,28398,126,35
2004,14431,28398,151,36
2004,14431,28436,10,37
2004,14431,28452,154,38
2004,14431,28533,191,39
2004,14431,28533,328,40
2004,14431,28550,232,41
2004,14431,28550,239,42
2004,14431,28770,152,43
2004,14431,28770,153,44
2004,14431,28797,1,45
2004,14431,28797,13,46
2004,14431,28797,3,47
2004,14431,28797,12,48
2004,14431,28797,9,49
2004,14431,28797,6,50
2004,14431,28797,14,51
2004,14431,28835,18,52
2004,14431,28835,19,53
2004,14431,28835,4,54
2004,14431,28835,9,55
2004,14431,28835,10,56
2004,14431,28835,6,57
2004,14431,28878,64,58
2004,14431,28878,65,59
2004,14431,02933,1,60
2004,14431,02933,2,61
2004,14431,02070,13,62
2004,14431,02119,1,63
2004,14431,02119,109,64
2004,14431,02119,23,65
2004,14431,02135,126,66
2004,14431,02950,42,67
2004,14431,02950,86,68
2004,14431,02151,94,69
2004,14431,02151,95,70
2004,14431,02151,76,71
2004,14431,02151,93,72
2004,14431,02151,31,73
2004,14431,02151,20,74
2004,14431,02151,111,75
2004,14431,02151,110,76
2004,14431,02151,16,77
2004,14431,02151,107,78
2004,14431,02151,106,79
2004,14431,02151,98,80
2004,14431,02151,84,81
2004,14431,02151,101,82
2004,14431,02151,85,83
2004,14431,02216,1,84
2004,14431,02216,2,85
2004,14431,02232,98,86
2004,14431,02046,103,87
2004,14431,98353,132,88
2004,14431,98353,133,89
2004,14431,98353,138,90
2004,14431,98353,139,91
2004,14431,98353,127,92
2004,14431,98353,121,93
2004,14431,98353,129,94
2004,14431,98353,128,95
2004,14431,02410,104,96
2004,14431,02410,105,97
2004,14431,02410,106,98
2004,14431,02410,108,99
2004,14431,02410,107,100
2004,14431,02410,109,101
2004,14431,02410,110,102
2004,14431,02453,75,103
2004,14431,02534,117,104
2004,14431,02534,118,105
2004,14431,02550,380,106
2004,14431,02550,366,107
2004,14431,02550,475,108
2004,14431,02615,89,109
2004,14431,02615,62,110
2004,14431,02615,91,111
2004,14431,02631,37,112
2004,14431,02011,1,113
2004,14431,02011,2,114
2004,14431,98434,35,115
2004,14431,02836,87,116
2004,14431,02836,43,117
2004,14431,02836,74,118
2004,14431,98477,48,119
2004,14431,98477,49,120
2004,14431,02810,82,121
2004,14431,02810,53,122
2004,14431,02810,30,123
2004,14431,02810,43,124
2004,14431,02810,58,125
2004,14431,02810,36,126
2004,14431,02810,13,127
2004,14431,02810,9,128
2004,14431,02810,26,129
2004,14431,02810,28,130
2004,14431,02810,69,131
2004,14431,98493,159,132
2004,14431,98493,160,133
2004,14431,02852,86,134
2004,14431,06130,204,135
2004,14431,06130,205,136
2004,14431,06076,19,137
2004,14431,06092,1,138
2004,14431,06092,2,139
2004,14431,06009,38,140
2004,14431,33073,264,141
2004,14431,33073,266,142
2004,14431,33073,267,143
2004,14431,33073,260,144
2004,14431,33111,294,145
2004,14431,33138,61,146
2004,14431,33138,118,147
2004,14431,33138,62,148
2004,14431,33138,119,149
2004,14431,33138,176,150
2004,14431,33138,177,151
2004,14431,33197,186,152
2004,14431,33219,261,153
2004,14431,33383,340,154
2004,14431,33413,81,155
2004,14431,33413,108,156
2004,14431,30732,206,157
2004,14431,33499,149,158
2004,14431,33499,146,159
2004,14431,33570,209,160
2004,14431,33693,14,161
2004,14431,33812,132,162
2004,14431,33812,131,163
2004,14431,33855,234,164
2004,14431,33952,189,165
2004,14431,33952,190,166
2004,14431,33952,187,167
2004,14431,33952,206,168
2004,14431,33952,188,169
2004,14431,33952,191,170
2004,14431,33952,192,171
2004,14431,34010,160,172
2004,14431,34010,176,173
2004,14431,34010,168,174
2004,14431,34010,169,175
2004,14431,34037,92,176
2004,14431,34070,6,177
2004,14431,34070,3,178
2004,14431,34193,175,179
2004,14431,34193,129,180
2004,14431,34258,105,181
2004,14431,34339,118,182
2004,14431,34339,28,183
2004,14431,34339,29,184
2004,14431,34339,37,185
2004,14431,34355,52,186
2004,14431,34355,23,187
2004,14431,34363,118,188
2004,14431,34363,119,189
2004,14431,34363,109,190
2004,14431,34363,111,191
2004,14431,34363,112,192
2004,14431,34363,107,193
2004,14431,34363,108,194
2004,14431,34363,113,195
2004,14431,34398,146,196
2004,14431,34495,96,197
2004,14431,34495,110,198
2004,14431,34495,105,199
2004,14431,34495,101,200
2004,14431,34495,104,201
2004,14431,34495,74,202
2004,14431,34495,152,203
2004,14431,34517,183,204
2004,14431,34576,35,205
2004,14431,34690,254,206
2004,14431,34878,114,207
2004,14431,30872,142,208
2004,14431,30872,126,209
2004,14431,35092,93,210
2004,14431,35092,78,211
2004,14431,35149,88,212
2004,14431,35149,21,213
