electionYear,electionID,electoralUnitID,candidateID
2012,1699,87718,210000000226
2016,2,14133,60000002853
2016,2,04600,140000011472
2016,2,04030,140000021241
2016,2,74691,160000004741
2016,2,66079,250000091295
2016,2,66079,250000085944
2016,2,65498,250000052895
2016,2,63118,250000076442
