,electionYear,electionID,electoralUnitID,candidateID,caseNum,protNum
0,electionYear,electionID,electoralUnitID,candidateID,caseNum,protNum
4186,2008,14422,21172,7158,24.01/2008,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=824/2008&comboTribunal=pb
4187,2008,14422,21172,6910,20.12/2008,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=691/2008&comboTribunal=pb
4188,2008,14422,21172,7211,25.21/2008,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=806/2008&comboTribunal=pb
4189,2008,14422,21270,8967,RCAND 07.03/08,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=601&comboTribunal=pb
4190,2008,14422,21270,8971,RCAND 07.07/08,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=605&comboTribunal=pb
4191,2008,14422,21490,4473,04.02/2008,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=54/2008&comboTribunal=pb
4192,2008,14422,21555,2109,4.12,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=277/08&comboTribunal=pb
4193,2008,14422,21555,2013,3.13,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=254/08&comboTribunal=pb
4194,2008,14422,21555,2324,6.16,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=309/08&comboTribunal=pb
4195,2008,14422,19003,6648,08.01/2008,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=85/2008&comboTribunal=pb
4196,2008,14422,19003,6649,08.02/2008,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=86/2008&comboTribunal=pb
4197,2008,14422,21610,6683,11.02/2008,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=739/2008&comboTribunal=pb
4198,2008,14422,21610,6687,11.09/2008,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=746/2008&comboTribunal=pb
