"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"DT_POSSE";"SG_UF";"SG_UE";"NM_UE";"CD_CARGO";"DS_CARGO";"QT_VAGAS"
"20/09/2018";"10:39:00";"2016";"2";"Eleição Ordinária";"220";"Eleições Municipais 2016";"02/10/2016";"01/01/2017";"AP";"06050";"MACAPÁ";"11";"Prefeito";"1"
"20/09/2018";"10:39:00";"2016";"2";"Eleição Ordinária";"220";"Eleições Municipais 2016";"02/10/2016";"01/01/2017";"AP";"06068";"CUTIAS";"11";"Prefeito";"1"
"20/09/2018";"10:39:00";"2016";"2";"Eleição Ordinária";"220";"Eleições Municipais 2016";"02/10/2016";"01/01/2017";"AP";"06076";"MAZAGÃO";"11";"Prefeito";"1"
"20/09/2018";"10:39:00";"2016";"2";"Eleição Ordinária";"220";"Eleições Municipais 2016";"02/10/2016";"01/01/2017";"AP";"06084";"PEDRA BRANCA DO AMAPARI";"11";"Prefeito";"1"
"20/09/2018";"10:39:00";"2016";"2";"Eleição Ordinária";"220";"Eleições Municipais 2016";"02/10/2016";"01/01/2017";"AP";"06092";"OIAPOQUE";"11";"Prefeito";"1"
"20/09/2018";"10:39:00";"2016";"2";"Eleição Ordinária";"220";"Eleições Municipais 2016";"02/10/2016";"01/01/2017";"AP";"06106";"SERRA DO NAVIO";"11";"Prefeito";"1"
"20/09/2018";"10:39:00";"2016";"2";"Eleição Ordinária";"220";"Eleições Municipais 2016";"02/10/2016";"01/01/2017";"AP";"06114";"FERREIRA GOMES";"11";"Prefeito";"1"
"20/09/2018";"10:39:00";"2016";"2";"Eleição Ordinária";"220";"Eleições Municipais 2016";"02/10/2016";"01/01/2017";"AP";"06122";"VITÓRIA DO JARI";"11";"Prefeito";"1"
"20/09/2018";"10:39:00";"2016";"2";"Eleição Ordinária";"220";"Eleições Municipais 2016";"02/10/2016";"01/01/2017";"AP";"06130";"LARANJAL DO JARI";"11";"Prefeito";"1"
"20/09/2018";"10:39:00";"2016";"2";"Eleição Ordinária";"220";"Eleições Municipais 2016";"02/10/2016";"01/01/2017";"AP";"06157";"SANTANA";"11";"Prefeito";"1"
"20/09/2018";"10:39:00";"2016";"2";"Eleição Ordinária";"220";"Eleições Municipais 2016";"02/10/2016";"01/01/2017";"AP";"06173";"TARTARUGALZINHO";"11";"Prefeito";"1"
"20/09/2018";"10:39:00";"2016";"2";"Eleição Ordinária";"220";"Eleições Municipais 2016";"02/10/2016";"01/01/2017";"AP";"06009";"PRACUÚBA";"12";"Vice-prefeito";"1"
"20/09/2018";"10:39:00";"2016";"2";"Eleição Ordinária";"220";"Eleições Municipais 2016";"02/10/2016";"01/01/2017";"AP";"06017";"AMAPÁ";"12";"Vice-prefeito";"1"
"20/09/2018";"10:39:00";"2016";"2";"Eleição Ordinária";"220";"Eleições Municipais 2016";"02/10/2016";"01/01/2017";"AP";"06025";"PORTO GRANDE";"12";"Vice-prefeito";"1"
"20/09/2018";"10:39:00";"2016";"2";"Eleição Ordinária";"220";"Eleições Municipais 2016";"02/10/2016";"01/01/2017";"AP";"06033";"CALÇOENE";"12";"Vice-prefeito";"1"
"20/09/2018";"10:39:00";"2016";"2";"Eleição Ordinária";"220";"Eleições Municipais 2016";"02/10/2016";"01/01/2017";"AP";"06041";"ITAUBAL";"12";"Vice-prefeito";"1"
"20/09/2018";"10:39:00";"2016";"2";"Eleição Ordinária";"220";"Eleições Municipais 2016";"02/10/2016";"01/01/2017";"AP";"06050";"MACAPÁ";"12";"Vice-prefeito";"1"
"20/09/2018";"10:39:00";"2016";"2";"Eleição Ordinária";"220";"Eleições Municipais 2016";"02/10/2016";"01/01/2017";"AP";"06068";"CUTIAS";"12";"Vice-prefeito";"1"
"20/09/2018";"10:39:00";"2016";"2";"Eleição Ordinária";"220";"Eleições Municipais 2016";"02/10/2016";"01/01/2017";"AP";"06076";"MAZAGÃO";"12";"Vice-prefeito";"1"
"20/09/2018";"10:39:00";"2016";"2";"Eleição Ordinária";"220";"Eleições Municipais 2016";"02/10/2016";"01/01/2017";"AP";"06084";"PEDRA BRANCA DO AMAPARI";"12";"Vice-prefeito";"1"
"20/09/2018";"10:39:00";"2016";"2";"Eleição Ordinária";"220";"Eleições Municipais 2016";"02/10/2016";"01/01/2017";"AP";"06092";"OIAPOQUE";"12";"Vice-prefeito";"1"
"20/09/2018";"10:39:00";"2016";"2";"Eleição Ordinária";"220";"Eleições Municipais 2016";"02/10/2016";"01/01/2017";"AP";"06106";"SERRA DO NAVIO";"12";"Vice-prefeito";"1"
"20/09/2018";"10:39:00";"2016";"2";"Eleição Ordinária";"220";"Eleições Municipais 2016";"02/10/2016";"01/01/2017";"AP";"06114";"FERREIRA GOMES";"12";"Vice-prefeito";"1"
"20/09/2018";"10:39:00";"2016";"2";"Eleição Ordinária";"220";"Eleições Municipais 2016";"02/10/2016";"01/01/2017";"AP";"06122";"VITÓRIA DO JARI";"12";"Vice-prefeito";"1"
"20/09/2018";"10:39:00";"2016";"2";"Eleição Ordinária";"220";"Eleições Municipais 2016";"02/10/2016";"01/01/2017";"AP";"06130";"LARANJAL DO JARI";"12";"Vice-prefeito";"1"
